

 One-dimensional plot values
 Input line #     129
  X (Microns)   Y (Microns)  Distance (Microns) Photogeneration (pairs/cm^3)  
     22.50000       0.35000       0.35000        1.122767E+03
     22.50000       0.35167       0.35167        8.969922E+02
     22.50000       0.35333       0.35333        5.979943E+02
     22.50000       0.35500       0.35500        5.979943E+02
     22.50000       0.35667       0.35667        5.979943E+02
     22.50000       0.35833       0.35833        5.979978E+02
     22.50000       0.36000       0.36000        5.980013E+02
     22.50000       0.36167       0.36167        5.979978E+02
     22.50000       0.36333       0.36333        5.979943E+02
     22.50000       0.36500       0.36500        5.979943E+02
     22.50000       0.36667       0.36667        5.979943E+02
     22.50000       0.36833       0.36833        5.979943E+02
     22.50000       0.37000       0.37000        5.979943E+02
     22.50000       0.37167       0.37167        5.979943E+02
     22.50000       0.37333       0.37333        5.979943E+02
     22.50000       0.37500       0.37500        5.979943E+02
     22.50000       0.37667       0.37667        5.979943E+02
     22.50000       0.37833       0.37833        5.979943E+02
     22.50000       0.38000       0.38000        5.979943E+02
     22.50000       0.38167       0.38167        5.979943E+02
     22.50000       0.38333       0.38333        5.979943E+02
     22.50000       0.38500       0.38500        5.979978E+02
     22.50000       0.38667       0.38667        5.980013E+02
     22.50000       0.38833       0.38833        5.979978E+02
     22.50000       0.39000       0.39000        5.979943E+02
     22.50000       0.39167       0.39167        5.979943E+02
     22.50000       0.39333       0.39333        5.979943E+02
     22.50000       0.39500       0.39500        5.979943E+02
     22.50000       0.39667       0.39667        5.979943E+02
     22.50000       0.39833       0.39833        5.978459E+02
     22.50000       0.40000       0.40000        5.906825E+02
     22.50000       2.89999       2.89999        5.908331E+02
     22.50000       5.40000       5.40000        5.979987E+02
     22.50000       7.89999       7.89999        5.979987E+02
     22.50000      10.40000      10.40000        5.979987E+02
     22.50000      12.89999      12.89999        5.979987E+02
     22.50000      15.40000      15.40000        5.979987E+02
     22.50000      17.89999      17.89999        5.979987E+02
     22.50000      20.40000      20.40000        5.979987E+02
     22.50000      22.89999      22.89999        5.979987E+02
     22.50000      25.40000      25.40000        5.979987E+02
     22.50000      27.89999      27.89999        5.979987E+02
     22.50000      30.40000      30.40000        5.979987E+02
     22.50000      32.89999      32.89999        5.979987E+02
     22.50000      35.40000      35.40000        5.979987E+02
     22.50000      37.89999      37.89999        5.979987E+02
     22.50000      40.40000      40.40000        5.979987E+02
     22.50000      42.90000      42.90000        5.979987E+02
     22.50000      45.40000      45.40000        5.979987E+02
     22.50000      47.89999      47.89999        5.979987E+02
     22.50000      50.40000      50.40000        5.979987E+02
     22.50000      52.89999      52.89999        5.979987E+02
     22.50000      55.40000      55.40000        5.979987E+02
     22.50000      57.89999      57.89999        5.979988E+02
     22.50000      60.40000      60.40000        5.979991E+02
     22.50000      62.89999      62.89999        5.979993E+02
     22.50000      65.40000      65.40000        5.979995E+02
     22.50000      67.90000      67.89999        5.979993E+02
     22.50000      70.40000      70.40000        5.979990E+02
     22.50000      72.89999      72.89999        5.979990E+02
     22.50000      75.40000      75.39999        5.979990E+02
     22.50000      77.89999      77.89999        5.979990E+02
     22.50000      80.40000      80.39999        5.979990E+02
     22.50000      82.89999      82.89999        5.979990E+02
     22.50000      85.40000      85.40000        5.979990E+02
     22.50000      87.89999      87.89999        5.979990E+02
     22.50000      90.40000      90.40000        5.979988E+02
     22.50000      92.89999      92.89999        5.979989E+02
     22.50000      95.40000      95.40000        5.979991E+02
     22.50000      97.90000      97.89999        5.979994E+02
     22.50000     100.40000     100.40000        5.979995E+02
     22.50000     102.90000     102.89999        5.979995E+02
     22.50000     105.40000     105.40000        5.979995E+02
     22.50000     107.89999     107.89999        5.979995E+02
     22.50000     110.39999     110.39999        5.979995E+02
     22.50000     112.89999     112.89999        5.979995E+02
     22.50000     115.39999     115.39999        5.979995E+02
     22.50000     117.89999     117.89999        5.979995E+02
     22.50000     120.39999     120.39999        5.979995E+02
     22.50000     122.89999     122.89999        5.980002E+02
     22.50000     125.40000     125.39999        5.980002E+02
     22.50000     127.89999     127.89999        5.980002E+02
     22.50000     130.40000     130.39999        5.980002E+02
     22.50000     132.89999     132.89999        5.980008E+02
     22.50000     135.40000     135.39999        5.980021E+02
     22.50000     137.89999     137.89999        5.980021E+02
     22.50000     140.40000     140.39999        5.980021E+02
     22.50000     142.89999     142.89999        5.980021E+02
     22.50000     145.40000     145.39999        5.980021E+02
     22.50000     147.89999     147.89999        5.980021E+02
     22.50000     150.40000     150.39999        5.980021E+02
     22.50000     152.90000     152.89999        5.980021E+02
     22.50000     155.40000     155.39999        5.980021E+02
     22.50000     157.89999     157.89999        5.980021E+02
     22.50000     160.39999     160.39999        5.980021E+02
     22.50000     162.90000     162.89999        5.980021E+02
     22.50000     165.40000     165.40001        5.980021E+02
     22.50000     167.89999     167.89999        5.980021E+02
     22.50000     170.39999     170.39999        5.980021E+02
     22.50000     172.90000     172.89999        5.980021E+02
     22.50000     175.40000     175.40001        5.980021E+02
     22.50000     177.89999     177.89999        5.980021E+02
     22.50000     180.40000     180.39999        5.980021E+02
     22.50000     182.89998     182.89998        5.980021E+02
     22.50000     185.39999     185.39999        5.980021E+02
     22.50000     187.89999     187.89999        5.980021E+02
     22.50000     190.40000     190.39999        5.980021E+02
     22.50000     192.89998     192.89998        5.980021E+02
     22.50000     195.39999     195.39999        5.980021E+02
     22.50000     197.89999     197.89999        5.980021E+02
     22.50000     200.40000     200.39999        5.980021E+02
     22.50000     202.89999     202.89998        5.980021E+02
     22.50000     205.39999     205.39999        5.980021E+02
     22.50000     207.90000     207.89999        5.980021E+02
     22.50000     210.40000     210.39999        5.980021E+02
     22.50000     212.89999     212.89999        5.980021E+02
     22.50000     215.39999     215.39999        5.980021E+02
     22.50000     217.90000     217.89999        5.980021E+02
     22.50000     220.40000     220.40001        5.980021E+02
     22.50000     222.89999     222.89999        5.980021E+02
