

 One-dimensional plot values
 Input line #     130
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000       5.40000       5.40000        4.856497E+09
     35.00000      10.40000      10.40000        3.859285E+09
     35.00000      15.40000      15.40000        3.214783E+09
     35.00000      20.40000      20.40000        2.896452E+09
     35.00000      25.40000      25.40000        2.842235E+09
     35.00000      30.40000      30.40000        3.089785E+09
     35.00000      35.40000      35.40000        3.954371E+09
     35.00000      40.40000      40.40000        8.466927E+09
     35.00000      45.40000      45.40000        3.551331E+10
     35.00000      50.40000      50.40000        6.671120E+10
     35.00000      55.40000      55.40000        9.500845E+10
     35.00000      60.40000      60.40000        1.203603E+11
     35.00000      65.40000      65.40000        1.433167E+11
     35.00000      70.40000      70.40000        1.644063E+11
     35.00000      75.40000      75.39999        1.840535E+11
     35.00000      80.40000      80.39999        2.025841E+11
     35.00000      85.40000      85.40000        2.202459E+11
     35.00000      90.40000      90.40000        2.372311E+11
     35.00000      95.40000      95.40000        2.536962E+11
     35.00000     100.40000     100.40000        2.697708E+11
     35.00000     105.40000     105.40000        2.855215E+11
     35.00000     110.39999     110.39999        3.007414E+11
     35.00000     115.39999     115.39999        3.141169E+11
     35.00000     120.39999     120.39999        3.208175E+11
     35.00000     125.40000     125.39999        3.099319E+11
     35.00000     130.40000     130.39999        2.801635E+11
     35.00000     135.40000     135.39999        2.427544E+11
     35.00000     140.40000     140.39999        2.030054E+11
     35.00000     145.40000     145.39999        1.625422E+11
     35.00000     150.40000     150.39999        1.219186E+11
     35.00000     155.40000     155.39999        8.169961E+10
     35.00000     160.39999     160.39999        4.336681E+10
     35.00000     165.40000     165.40001        1.329784E+10
     35.00000     170.39999     170.39999        4.750358E+09
     35.00000     175.40000     175.40001        3.207808E+09
     35.00000     180.40000     180.39999        2.593408E+09
     35.00000     185.39999     185.39999        2.257433E+09
     35.00000     190.40000     190.39999        2.042605E+09
     35.00000     195.39999     195.39999        1.891934E+09
     35.00000     200.40000     200.39999        1.779619E+09
     35.00000     205.39999     205.39999        1.692193E+09
     35.00000     210.40000     210.39999        1.621896E+09
     35.00000     215.39999     215.39999        1.563931E+09
     35.00000     220.40000     220.40001        1.515152E+09
     35.00000     225.39999     225.39999        1.473410E+09
     35.00000     230.40000     230.40001        1.437185E+09
     35.00000     235.39999     235.39999        1.405358E+09
     35.00000     240.39999     240.39999        1.377106E+09
     35.00000     245.40000     245.39999        1.351792E+09
